Titre original	Titre français	Réalisateur	Couleur et Format	Année et Pays	Vu ? fois et Prod.	Genre	Acteurs	Actrices	Appréciation	Scénario	D'après	Photographie	Musique	DVD
Secret fury (The)	Fureur secrète	FERRER Mel	NB / 85mn	1950 / USA	 / Loring Theatre Prod.	dr.	Robert Ryan, Paul Kelly, Philip Ober, Dave Barbour, Clifford brooks, Wheaton Chambers, Cliff Clark, james Conaty, Eddie Dunn, Ralph Dunn, Jose Ferrer, Joseph ForteSam Harris, Percy Helton, Paul Picerni, 	Claudette Colbert, Jane Cowl, Elisabeth Risdon, Doris Dudley, Vivian Vance, Kathleen Freeman, 	Bon+. Le scenario est d'une lourdeur et d'une improbabilité complète, et le spectateur a compris dès le début que la malheureuse Claudette est prise au piège d'un complot. Pourtant, la mise en scène est de qualité, et distille assez efficacement une certaine angoisse, mais les fausses pistes sont par trop malhabiles, et la conclusion quasi-risible.	Lionel Houser	hist. de Jack Leonard + James O'Hanlon	Leo Tover	jack H. Skirball + Bruce Manning	
Ape regina (L')	Lit conjugal (Le)	FERRERI Marco	NB	1963 / I	 / (Ilio Rovelli)	com.	Ugo Tognazzi, Walter Giller, Riccardo Fellini, Igi Polidoro, Nino Vingelli, Achille Maieroni, 	Marina Vlady, Linda Sini, 	B.	Marco Ferreri + Rafael Azcona + Pasquale Festa Campanile + Diego Fabbri + Massimo Franciosa	idée de Goffredo Parise	Ennio Guarnieri	Teo Usuelli	
Dillinger e morto	Dillinger est mort	FERRERI Marco	Coul.	1968 / I		dr.	Michel Piccoli, 	Annie Girardot, Anita Pallenberg, 	TB.Exc.	M. Ferreri + Sergio Bazzini		Mario Vulpiani	Teo Usuelli	
Cagna (La)	Liza	FERRERI Marco	Coul. / Panoramica	1972 / I - F	 / Lira Film-Pegaso Film (Raymond Danon)	dr.	Marcello Mastroianni, Michel Piccoli, Christian Marquand, Pascal Laperrousaz, Enrico Balsi, 	Catherine Deneuve, Corinne Marchand, Dominique Marcas, Valérie Stroh, Claudine Berg, Luigia A. Guerra,	TB.Exc.	M. Ferreri + Ennio Flaiano + Jean-Claude Carrière	"nouv. ""Melampus"" d'Ennio Flaiano"	Mario Vulpiani	Philippe Sarde	
Grande bouffe (La)		FERRERI Marco	Coul.	1973 / F - I	 / Mara Films-Capitolina	dr.	Philippe Noiret, Ugo Tognazzi, Michel Piccoli, Marcello Mastroianni, Maurice Dorléac, Henri Piccoli, James Campbell, Bernard Menez, Henri Piccoli, Louis Navarre, Mario Vulpiani, Gérard Boucaron, Giuseppe Maffioli, 	Andréa Ferréol, Monique Chaumette, Florence Giorgetti, Rita Scherrer, Solange Blondeau, Michèle Alexandre, Cordelia Piccoli, Patricia Milochevitch, Margaret Honeywell, Annetrte Carducci, Eva Simonet, 	Exc.	"M. Ferreri + Rafael AzconaDial.: Francis Blanche"		Mario Vulpiani	Philippe Sarde	
Touche pas à la Femme Blanche		FERRERI Marco	Coul.	1974 / I - F	 / Mara Films-Films 66-Laser Prod.-PEA	western	Marcello Mastroianni, Michel Piccoli, Philippe Noiret, Ugo Tognazzi, Alain Cuny, Serge Reggiani, Henri Piccoli, Darry Cowl, Noël Simsolo, Paolo Villagio, Franco Fabrizi, Pierre-André Boutang, Bob Martin, Jeff Zimmerman, Jeff Demange, Gianmarco tognazzi, Jacques Robiolles, Bertrand Tavernier, Marco Ferreri, 	Catherine Deneuve, Monique Chaumette, Danièle Dublino, Franca Bettoja, Francine Custer, Solange Blondeau, Jackie Lombard, Eve Vercel, 	TB.	M. Ferreri + Rafael Azcona		Étienne Becker	Philippe Sarde	
	Y'A BON LES BLANCS	FERRERI Marco	Coul.	1987 / I			Michel PICCOLI,	Maruschka DETMERS,						
VOL DU SPHINX (Le)		FERRIER Laurent	Coul.	1984 / F			Alain SOUCHON, Jean BENGUIGUI,	MIOU-MIOU,						
Rembetiko		FERRIS Costas	Coul. / Panavision / 110mn	1983 / Grèce	 / Greek Film Center - ERT - Rembetiko Ltd. (Costas Ferris + George Zervoulakos)	dr. mus.	Nikos Kalogeropoulos, Michalis Maniatis, Nikos Dimitratos, Giorgos Zorbas, Konstantinos Tzoumas, 	Sotiria Leonardou, Themis Bazaka, Vicky Vanita, 	B-. Évidemment passionnant pour la musqiue, le reste déçoit passablement : scenario laborieux (qui s'appuie de manière livresque sur des archives historiques qui surgissent comme un cheveu sur la soupe), dramaturgie d'une lourdeur pathétique (qui s'essaye grossièrement à développer des plans-séquences à la Angelopoulos, mais sans la vision historico-politique), montage tout aussi pesant et malhabile, jeu passablement amateur des comédiens, assez guindés. Reste encore une fois les rembetika, passionnants, et leurs interprétations, de qualité.	Costas Ferris + Sotiria Leonardou		Takis Zervoulakos	Stavros Xarhakos + rembetika	
Amant de Bornéo (L')		FEYDEAU Jean-Paul	NB	1942 / F	 / CCFC	com.	Jean Tissier, André Alerme, Pierre Larquey, Guillaume de Sax, Jimmy Gaillard, Teddy Michaud, Michel François, Pierre Ferval, Joe Alex, 	Arletty, Pauline Carton, Georgette Tissier, Germaine Reuver, Marguerite de Morlaye, Charlotte Ecard, 	BonB.	Roger Ferdinand + José Germain	leur pièce	Victor Arménise	René SylvianoPar. : René Dorin	
Grand jeu (Le)		FEYDER Jacques	NB	1933 / F	 / Films de France	dr.	Pierre Richard-Wilm, Charles Vanel, Georges Pitoff, Camille Bert, André Dubosc, Pierre Larquey, Nestor Ariani, Pierre de Guingand, Henri Chomette, Louis Florencie, Pierre Labry, Claude Marcy, Jacques Normand, Geno Ferny, Guérard, 	Marie Bell, Françoise Rosay, Line Clevers, Olga Velbria, Simone Cerdan, Maryse Wendling, 	"BTB. Étonnant : malgrè toute les lourdeurs datées de la mise en scène, du dialogue et des personnage, on y croit, et on a le sentiment de ne pas être très loin de la poésie du ""Morocco"" de Sternberg. Les décors, le réalisme discret de la reconstitution du djebel, la qualité des acteurs, particulièrement Bell dans son double rôle et Rosay, apportent une homogénéité qui dépasse le genre et l'époque.Remake par Robert SIODMAK en 1954."	"Charles Spaak + Jacques FeyderDial. : Charles Spaak"		Harry Stradling + Maurice Forster	Hanns Eisler	
